target,method,seed,split_id,n_te,n_pos,n_events,auc,ap,prevalence,lift,brier,brier_skill,auc_within_athlete,n_athletes_with_both,auc_between_athlete,n_athletes_test,thr_calibrated,f1_calibrated,precision_calibrated,recall_calibrated,f1_oracle,event_detection_rate,event_detection_ci
G2,ours,6,2e7b8e7c1c,12411,130,130,0.6122302744076216,0.02956632305583666,0.010474579002497784,2.822674118815298,0.22120243319525745,-20.341570103520045,0.5886824935841661,19,0.7280701754385965,25,0.5044097900390625,0.0328125,0.01728395061728395,0.3230769230769231,0.03773584905660377,0.3230769230769231,"(np.float64(0.24876368695714707), np.float64(0.40754645876735124))"
G1,DANN,4,95d8cd7bb9,14439,136,136,0.6078650714987806,0.017672997176867204,0.009418934829281807,1.8763265164469525,0.07852620370095424,-7.416330628797857,0.5829384898399116,20,0.5599999999999999,25,0.30517318844795227,0.033715441672285906,0.0176678445229682,0.36764705882352944,0.04484304932735426,0.36764705882352944,"(np.float64(0.2912843697911778), np.float64(0.45128150474115014))"
G2,GAT,0,681958af8d,12439,130,130,0.6356440253223096,0.023181999076398747,0.01045100088431546,2.218160665471723,0.07114961940586602,-5.87982502503261,0.6332019673618693,20,0.72,25,0.2895390307337311,0.03399209486166008,0.017916666666666668,0.33076923076923076,0.03631205673758865,0.33076923076923076,"(np.float64(0.25576905887220586), np.float64(0.4154841239947055))"
G2,DANN,1,0119652c6d,12460,130,130,0.5282366336015971,0.011184503663118732,0.01043338683788122,1.0719916587881493,0.10951764396455924,-9.607517283503759,0.49883828396653,20,0.83,25,0.43765243887901306,0.02546296296296296,0.013403736799350122,0.25384615384615383,0.02640901771336554,0.25384615384615383,"(np.float64(0.18684099802228094), np.float64(0.33498181342049915))"
G3,LSTM,123,13c93d0783,13066,123,123,0.6129891601009806,0.015094640588684156,0.009413745599265269,1.603468080745912,0.05938681331850842,-5.368472339596127,0.6057932161268532,20,0.35,24,0.28209152333675674,0.03305785123966942,0.01732965734541158,0.35772357723577236,0.032497350759448956,0.35772357723577236,"(np.float64(0.278503383040199), np.float64(0.4455619078422875))"
G2,DANN,0,681958af8d,12439,130,130,0.6110716361386603,0.014568963495730867,0.01045100088431546,1.3940256686415096,0.12102550408345551,-10.702582510116644,0.5957730302205406,20,0.7799999999999999,25,0.4562259614467621,0.026877470355731226,0.014166666666666666,0.26153846153846155,0.032357473035439135,0.26153846153846155,"(np.float64(0.19361426783893437), np.float64(0.3431515807462589))"
G2,GAT,1,0119652c6d,12460,130,130,0.6432369455362157,0.01570151697453888,0.01043338683788122,1.5049300115596493,0.06267653385403833,-5.070642063318743,0.6099553260078897,20,0.8500000000000001,25,0.2745054063463646,0.033950617283950615,0.017871649065800164,0.3384615384615385,0.0380952380952381,0.3384615384615385,"(np.float64(0.2627976766461052), np.float64(0.42339854336321925))"
G1,DANN,5,eca9fec117,14438,136,136,0.5782968445384027,0.011277971421577992,0.009419587200443275,1.1972893484172282,0.08916133864611173,-8.555534242251717,0.5522179231172902,19,0.6666666666666667,25,0.35815346240997314,0.02034587995930824,0.01066477070742979,0.22058823529411764,0.024380495603517186,0.22058823529411764,"(np.float64(0.15911201250331417), np.float64(0.2974159448427116))"
G3,LSTM,3,fc23185e4f,13056,123,123,0.6266285464988725,0.014102867396837158,0.00942095588235294,1.4969677783179345,0.0478122387893638,-4.123361184353281,0.6161048851872242,19,0.4526315789473684,24,0.24392421167543632,0.03186646433990895,0.016713091922005572,0.34146341463414637,0.03125,0.34146341463414637,"(np.float64(0.26360005517078905), np.float64(0.4289298403839817))"
G3,AthleteRate,2,60e313bbf8,13060,123,123,0.5642051442544262,0.011712484267412275,0.009418070444104134,1.2436182482309295,0.19970862333358144,-20.40644169073242,0.5,21,0.626984126984127,24,0.391304347826087,0.026869455006337136,0.013867085295656724,0.43089430894308944,0.02973977695167286,0.43089430894308944,"(np.float64(0.34678176065773125), np.float64(0.5191928091994765))"
