cohort,target,method,seed,n_folds,n_te,n_pos,n_events,n_athletes,auc,ap,auc_within_athlete,n_athletes_with_both,auc_between_athlete,f1_calibrated,event_detection_rate
soccermon,TeamB-2020,ours,2026,3,5295,35,3,15,0.8142694187941335,0.021154526892619596,0.8919124102724975,3,0.6666666666666667,0.03758654797230465,1.0
soccermon,TeamA-2021,Transformer,2026,4,8234,62,8,23,0.7942383907283723,0.03496943597830003,0.6338754211200751,4,0.6578947368421052,0.04836759371221282,0.75
soccermon,TeamA-2021,LSTM,123,4,8234,62,8,23,0.7586270190895742,0.021173205379424184,0.6635170016024217,4,0.6973684210526316,0.04540023894862605,0.625
soccermon,TeamA-2020,AthleteRate,42,5,9531,427,28,27,0.38522120652115754,0.03939344835588904,0.5,11,0.5056818181818182,0.02144542140253056,0.25
soccermon,TeamA-2021,ours,2026,4,8234,62,8,23,0.7901281717272197,0.04557785356126593,0.6532421608051343,4,0.7763157894736843,0.03506650544135429,0.75
soccermon,TeamB-2020,LSTM,42,3,5295,35,3,15,0.6685768604019554,0.1416318502732806,0.8158491861551799,3,0.5555555555555556,0.018168054504163512,0.6666666666666666
soccermon,TeamB-2020,GAT,2026,3,5295,35,3,15,0.9208582292232482,0.07018552161940529,0.9307539099589693,3,0.8888888888888888,0.057368941641938676,1.0
soccermon,TeamA-2021,ours,123,4,8234,62,8,23,0.597940647056037,0.010169132011382961,0.4936518909859451,4,0.5,0.027479091995221028,0.5
soccermon,TeamB-2020,DANN,2026,3,5295,35,3,15,0.626132536664856,0.01951726911173117,0.7187774969524013,3,0.6111111111111112,0.017804154302670624,0.3333333333333333
soccermon,TeamA-2021,DANN,2026,4,8234,62,8,23,0.8467347196564192,0.0299468765519069,0.6712261411686408,4,0.7763157894736842,0.05199516324062878,0.875
soccermon,TeamA-2020,XGBoost,123,5,9531,427,28,27,0.699625688890901,0.08634026224765345,0.6218264516783419,11,0.7727272727272727,0.1358555460017197,0.4642857142857143
soccermon,TeamA-2021,ProtoNet,42,4,8234,62,8,23,0.7712468223516965,0.020686971251833594,0.643499034778063,4,0.7894736842105263,0.03391883706844337,0.625
soccermon,TeamB-2020,LSTM,123,3,5295,35,3,15,0.6790874524714829,0.07467134895105672,0.7065938265385384,3,0.6666666666666666,0.018912529550827423,0.6666666666666666
soccermon,TeamA-2020,XGBoost,2026,5,9531,427,28,27,0.6901715744784186,0.0902083671644785,0.6101867434859166,11,0.7386363636363635,0.1188118811881188,0.39285714285714285
soccermon,TeamA-2020,ProtoNet,123,5,9531,427,28,27,0.7059588291221297,0.08550919981408261,0.7741377237304732,11,0.7897727272727273,0.1418744625967326,0.4642857142857143
soccermon,TeamB-2020,ProtoNet,42,3,5295,35,3,15,0.9479196089082021,0.09292674699240272,0.8847925172066713,3,0.8055555555555556,0.058823529411764705,1.0
soccermon,TeamA-2021,Transformer,42,4,8234,62,8,23,0.7835607029510682,0.12115249097996383,0.6843068856718701,4,0.7105263157894737,0.050878255602665054,0.75
soccermon,TeamA-2021,AthleteRate,42,4,8234,62,8,23,0.5042394959973474,0.007820775830057473,0.5,4,0.5065789473684211,0.012669683257918552,0.25
soccermon,TeamA-2020,Transformer,42,5,9531,427,28,27,0.6110090579635583,0.06271110731218855,0.6328345299386362,11,0.8238636363636364,0.09626128061882251,0.4642857142857143
soccermon,TeamA-2021,GAT,42,4,8234,62,8,23,0.5239803893704704,0.00798994068149688,0.4100007219961711,4,0.5,0.016959418534221685,0.375
soccermon,TeamB-2020,AthleteRate,42,3,5295,35,3,15,0.3849538294405214,0.005547012005935519,0.5,3,0.5,0.0077777777777777776,0.3333333333333333
soccermon,TeamB-2020,Transformer,2026,3,5295,35,3,15,0.7597664312873438,0.06617761183467058,0.7423919650568852,3,0.7777777777777778,0.025717111770524232,0.6666666666666666
soccermon,TeamB-2020,Transformer,42,3,5295,35,3,15,0.6327593699076589,0.1627318496817401,0.8040105346122228,3,0.5555555555555556,0.017110266159695818,0.3333333333333333
soccermon,TeamB-2020,ours,42,3,5295,35,3,15,0.8263932645301466,0.043399648776030406,0.8486316997867227,3,0.5555555555555556,0.052478134110787174,1.0
soccermon,TeamA-2020,Transformer,123,5,9531,427,28,27,0.6863321267024197,0.07244822359291206,0.6428489576868267,11,0.8465909090909091,0.11263972484952708,0.6071428571428571
soccermon,TeamA-2020,DANN,42,5,9531,427,28,27,0.496833880055811,0.060619114042328746,0.4960519155155152,11,0.7727272727272727,0.09783071033602722,0.4642857142857143
soccermon,TeamA-2021,DANN,42,4,8234,62,8,23,0.7671849588682046,0.016781955665352722,0.5216231825232666,4,0.8815789473684211,0.03270745003028468,0.625
